ダウンロードした時刻：2025/09/30 21:22:56

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均湿度(％),平均湿度(％),平均湿度(％),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1993/1/1,6.7,8,1,0,1,8,1,43,8,1,10.5,8,1,0.0,8,1,3.5,8,1
1993/1/2,5.5,8,1,0.0,0,8,1,62,8,1,5.4,8,1,6.0,8,1,2.2,8,1
1993/1/3,7.2,8,1,0,1,8,1,66,8,1,9.8,8,1,0.0,8,1,1.3,8,1
1993/1/4,8.0,8,1,0.0,0,8,1,56,8,1,6.2,8,1,9.0,8,1,3.1,8,1
1993/1/5,6.3,8,1,0.0,0,8,1,44,8,1,10.8,8,1,2.5,8,1,5.3,8,1
1993/1/6,6.4,8,1,0,1,8,1,40,8,1,7.7,8,1,6.8,8,1,2.9,8,1
1993/1/7,6.1,8,1,10.5,0,8,1,70,8,1,1.5,8,1,10.0,8,1,2.4,8,1
1993/1/8,9.0,8,1,0.5,0,8,1,50,8,1,9.9,8,1,4.8,8,1,6.2,8,1
1993/1/9,4.4,8,1,3.0,0,8,1,59,8,1,1.8,8,1,10.0,8,1,3.1,8,1
1993/1/10,5.9,8,1,0.0,0,8,1,68,8,1,3.8,8,1,10.0,8,1,1.9,8,1
1993/1/11,7.0,8,1,0.5,0,8,1,54,8,1,2.1,8,1,10.0,8,1,3.0,8,1
1993/1/12,7.7,8,1,0,1,8,1,40,8,1,6.9,8,1,6.5,8,1,3.7,8,1
1993/1/13,7.4,8,1,0.0,0,8,1,51,8,1,6.9,8,1,9.8,8,1,2.5,8,1
1993/1/14,6.0,8,1,9.0,0,8,1,84,8,1,0.6,8,1,10.0,8,1,3.7,8,1
1993/1/15,3.7,8,1,14.0,0,8,1,90,8,1,0.9,8,1,10.0,8,1,4.5,8,1
1993/1/16,4.2,8,1,19.5,0,8,1,88,8,1,1.4,8,1,10.0,8,1,4.6,8,1
1993/1/17,6.9,8,1,0,1,8,1,57,8,1,11.4,8,1,4.0,8,1,4.2,8,1
1993/1/18,5.1,8,1,0.0,0,8,1,59,8,1,3.2,8,1,9.5,8,1,2.3,8,1
1993/1/19,6.2,8,1,0,1,8,1,46,8,1,11.2,8,1,3.5,8,1,3.3,8,1
1993/1/20,6.4,8,1,0,1,8,1,44,8,1,10.0,8,1,3.5,8,1,2.3,8,1
1993/1/21,5.7,8,1,0,1,8,1,37,8,1,12.0,8,1,0.0,8,1,4.1,8,1
1993/1/22,5.7,8,1,0,1,8,1,36,8,1,12.1,8,1,0.3,8,1,4.8,8,1
1993/1/23,3.2,8,1,0.0,0,8,1,64,8,1,4.0,8,1,8.0,8,1,3.3,8,1
1993/1/24,3.6,8,1,5.5,0,8,1,88,8,1,2.9,8,1,10.0,8,1,4.1,8,1
1993/1/25,5.7,8,1,32.5,0,8,1,90,8,1,0.9,8,1,10.0,8,1,5.9,8,1
1993/1/26,6.5,8,1,14.5,0,8,1,83,8,1,3.7,8,1,7.8,8,1,4.2,8,1
1993/1/27,8.2,8,1,0.5,0,8,1,71,8,1,7.7,8,1,10.0,8,1,2.2,8,1
1993/1/28,5.6,8,1,5.0,0,8,1,56,8,1,8.3,8,1,4.5,8,1,4.2,8,1
1993/1/29,6.1,8,1,0,1,8,1,31,8,1,11.8,8,1,0.0,8,1,2.6,8,1
1993/1/30,7.4,8,1,0,1,8,1,42,8,1,11.2,8,1,2.8,8,1,2.7,8,1
1993/1/31,8.1,8,1,0,1,8,1,49,8,1,12.8,8,1,0.0,8,1,2.6,8,1
1993/2/1,4.6,8,1,1.5,0,8,1,59,8,1,8.9,8,1,3.3,8,1,4.4,8,1
1993/2/2,4.3,8,1,0,1,8,1,37,8,1,13.3,8,1,1.5,8,1,6.1,8,1
1993/2/3,6.8,8,1,0,1,8,1,40,8,1,11.8,8,1,2.5,8,1,2.8,8,1
1993/2/4,8.0,8,1,0,1,8,1,45,8,1,10.0,8,1,1.3,8,1,2.9,8,1
1993/2/5,6.9,8,1,0,1,8,1,48,8,1,6.7,8,1,4.5,8,1,2.7,8,1
1993/2/6,11.7,8,1,0,1,8,1,47,8,1,12.1,8,1,0.0,8,1,3.6,8,1
1993/2/7,16.5,8,1,0.0,0,8,1,54,8,1,11.4,8,1,3.0,8,1,6.4,8,1
1993/2/8,6.1,8,1,0.0,0,8,1,32,8,1,13.9,8,1,0.8,8,1,7.0,8,1
1993/2/9,5.5,8,1,0,1,8,1,35,8,1,8.0,8,1,8.3,8,1,3.2,8,1
1993/2/10,6.5,8,1,0,1,8,1,37,8,1,14.1,8,1,0.0,8,1,3.6,8,1
1993/2/11,5.2,8,1,0,1,8,1,46,8,1,8.3,8,1,5.0,8,1,2.3,8,1
1993/2/12,6.9,8,1,0.0,0,8,1,47,8,1,11.1,8,1,2.5,8,1,2.7,8,1
1993/2/13,7.7,8,1,0,1,8,1,43,8,1,14.4,8,1,0.0,8,1,3.9,8,1
1993/2/14,6.5,8,1,0,1,8,1,34,8,1,15.0,8,1,0.0,8,1,7.1,8,1
1993/2/15,5.6,8,1,0,1,8,1,38,8,1,11.1,8,1,1.5,8,1,2.9,8,1
1993/2/16,10.2,8,1,0.0,0,8,1,38,8,1,10.1,8,1,6.5,8,1,2.5,8,1
1993/2/17,9.9,8,1,22.0,0,8,1,78,8,1,5.1,8,1,5.5,8,1,2.9,8,1
1993/2/18,11.2,8,1,0.0,0,8,1,50,8,1,13.7,8,1,5.3,8,1,4.3,8,1
1993/2/19,7.6,8,1,0.0,0,8,1,38,8,1,15.2,8,1,4.0,8,1,5.9,8,1
1993/2/20,6.9,8,1,0,1,8,1,39,8,1,15.2,8,1,0.0,8,1,3.7,8,1
1993/2/21,4.9,8,1,15.0,0,8,1,63,8,1,2.1,8,1,10.0,8,1,2.8,8,1
1993/2/22,10.2,8,1,8.0,0,8,1,76,8,1,8.9,8,1,10.0,8,1,2.7,8,1
1993/2/23,8.0,8,1,3.0,0,8,1,61,8,1,8.5,8,1,7.0,8,1,3.9,8,1
1993/2/24,6.6,8,1,0,1,8,1,32,8,1,17.1,8,1,0.0,8,1,5.4,8,1
1993/2/25,6.1,8,1,0,1,8,1,33,8,1,17.0,8,1,0.8,8,1,4.0,8,1
1993/2/26,7.3,8,1,0.0,0,8,1,36,8,1,16.6,8,1,2.5,8,1,3.4,8,1
1993/2/27,8.9,8,1,0.0,0,8,1,47,8,1,13.5,8,1,8.0,8,1,3.2,8,1
1993/2/28,8.6,8,1,7.5,0,8,1,78,8,1,10.6,8,1,10.0,8,1,2.4,8,1
1993/3/1,8.4,8,1,6.0,0,8,1,52,8,1,12.5,8,1,9.3,8,1,3.1,8,1
1993/3/2,6.1,8,1,0.0,0,8,1,44,8,1,15.1,8,1,4.0,8,1,3.9,8,1
1993/3/3,7.5,8,1,0,1,8,1,43,8,1,16.4,8,1,4.8,8,1,2.7,8,1
1993/3/4,8.5,8,1,0,1,8,1,49,8,1,11.8,8,1,6.0,8,1,2.9,8,1
1993/3/5,10.1,8,1,0,1,8,1,56,8,1,15.5,8,1,0.0,8,1,3.4,8,1
1993/3/6,11.9,8,1,0,1,8,1,53,8,1,14.8,8,1,5.0,8,1,2.2,8,1
1993/3/7,11.7,8,1,0.0,0,8,1,70,8,1,6.1,8,1,10.0,8,1,3.2,8,1
1993/3/8,5.9,8,1,0.0,0,8,1,63,8,1,13.8,8,1,6.8,8,1,4.5,8,1
1993/3/9,6.3,8,1,0,1,8,1,53,8,1,16.9,8,1,3.8,8,1,3.2,8,1
1993/3/10,5.3,8,1,2.5,0,8,1,78,8,1,3.1,8,1,9.3,8,1,3.2,8,1
1993/3/11,8.2,8,1,0,1,8,1,57,8,1,11.1,8,1,7.0,8,1,2.3,8,1
1993/3/12,4.9,8,1,8.5,0,8,1,68,8,1,2.0,8,1,10.0,8,1,4.6,8,1
1993/3/13,6.4,8,1,0,1,8,1,34,8,1,19.4,8,1,3.5,8,1,7.2,8,1
1993/3/14,8.9,8,1,0,1,8,1,31,8,1,20.1,8,1,4.0,8,1,4.5,8,1
1993/3/15,4.5,8,1,14.5,0,8,1,71,8,1,2.6,8,1,10.0,8,1,2.9,8,1
1993/3/16,6.0,8,1,1.0,0,8,1,48,8,1,11.5,8,1,8.0,8,1,5.5,8,1
1993/3/17,6.8,8,1,0,1,8,1,32,8,1,19.9,8,1,3.3,8,1,4.8,8,1
1993/3/18,7.6,8,1,0.0,0,8,1,43,8,1,18.5,8,1,6.0,8,1,3.7,8,1
1993/3/19,7.1,8,1,1.0,0,8,1,55,8,1,16.4,8,1,7.8,8,1,3.6,8,1
1993/3/20,6.1,8,1,0.5,0,8,1,60,8,1,11.4,8,1,7.3,8,1,2.5,8,1
1993/3/21,7.9,8,1,0,1,8,1,47,8,1,20.2,8,1,1.0,8,1,2.8,8,1
1993/3/22,9.9,8,1,0,1,8,1,52,8,1,17.4,8,1,5.0,8,1,2.7,8,1
1993/3/23,11.2,8,1,0,1,8,1,57,8,1,18.6,8,1,0.8,8,1,2.7,8,1
1993/3/24,12.1,8,1,2.0,0,8,1,67,8,1,9.9,8,1,8.0,8,1,2.3,8,1
1993/3/25,14.2,8,1,0,1,8,1,52,8,1,14.8,8,1,6.3,8,1,4.2,8,1
1993/3/26,12.8,8,1,0,1,8,1,43,8,1,12.1,8,1,9.8,8,1,3.1,8,1
1993/3/27,13.8,8,1,0,1,8,1,50,8,1,14.1,8,1,7.0,8,1,,1,1
1993/3/28,10.4,8,1,15.5,0,8,1,73,8,1,3.2,8,1,10.0,8,1,3.3,8,1
1993/3/29,8.1,8,1,1.5,0,8,1,53,8,1,20.6,8,1,3.8,8,1,6.8,8,1
1993/3/30,9.0,8,1,0,1,8,1,44,8,1,20.3,8,1,4.5,8,1,4.1,8,1
1993/3/31,12.1,8,1,7.5,0,8,1,78,8,1,6.3,8,1,10.0,8,1,2.5,8,1
1993/4/1,13.3,8,1,21.5,0,8,1,69,8,1,10.4,8,1,7.0,8,1,2.7,8,1
1993/4/2,15.1,8,1,0,1,8,1,39,8,1,19.9,8,1,0.0,8,1,3.8,8,1
1993/4/3,15.4,8,1,0,1,8,1,60,8,1,17.9,8,1,3.5,8,1,2.4,8,1
1993/4/4,14.2,8,1,3.0,0,8,1,73,8,1,7.6,8,1,10.0,8,1,3.6,8,1
1993/4/5,9.2,8,1,2.5,0,8,1,49,8,1,16.0,8,1,6.3,8,1,6.4,8,1
1993/4/6,10.4,8,1,0.0,0,8,1,37,8,1,12.1,8,1,9.5,8,1,3.4,8,1
1993/4/7,11.6,8,1,0.0,0,8,1,48,8,1,18.7,8,1,6.0,8,1,4.0,8,1
1993/4/8,10.9,8,1,0.0,0,8,1,40,8,1,13.9,8,1,3.8,8,1,3.0,8,1
1993/4/9,9.4,8,1,1.0,0,8,1,47,8,1,16.7,8,1,3.5,8,1,2.9,8,1
1993/4/10,9.4,8,1,0.0,0,8,1,41,8,1,18.8,8,1,2.8,8,1,3.8,8,1
1993/4/11,9.4,8,1,0.0,0,8,1,45,8,1,19.8,8,1,4.8,8,1,3.6,8,1
1993/4/12,9.9,8,1,4.5,0,8,1,59,8,1,18.9,8,1,8.3,8,1,3.9,8,1
1993/4/13,9.0,8,1,3.5,0,8,1,66,8,1,13.9,8,1,9.0,8,1,2.3,8,1
1993/4/14,11.6,8,1,0,1,8,1,46,8,1,21.6,8,1,0.0,8,1,3.1,8,1
1993/4/15,15.1,8,1,0,1,8,1,39,8,1,20.7,8,1,0.5,8,1,3.0,8,1
1993/4/16,15.9,8,1,0,1,8,1,36,8,1,15.6,8,1,8.0,8,1,3.1,8,1
1993/4/17,15.3,8,1,0,1,8,1,53,8,1,15.4,8,1,4.5,8,1,2.4,8,1
1993/4/18,19.4,8,1,0,1,8,1,36,8,1,19.8,8,1,1.3,8,1,4.1,8,1
1993/4/19,14.7,8,1,0,1,8,1,36,8,1,20.8,8,1,2.5,8,1,4.4,8,1
1993/4/20,10.4,8,1,0.0,0,8,1,56,8,1,4.6,8,1,10.0,8,1,3.9,8,1
1993/4/21,10.2,8,1,0.0,0,8,1,70,8,1,7.5,8,1,10.0,8,1,2.7,8,1
1993/4/22,14.5,8,1,9.0,0,8,1,80,8,1,6.8,8,1,10.0,8,1,2.2,8,1
1993/4/23,18.6,8,1,0.0,0,8,1,70,8,1,15.4,8,1,5.0,8,1,2.8,8,1
1993/4/24,20.5,8,1,0,1,8,1,67,8,1,11.7,8,1,6.0,8,1,4.4,8,1
1993/4/25,19.7,8,1,0,1,8,1,43,8,1,20.2,8,1,1.8,8,1,6.8,8,1
1993/4/26,14.7,8,1,0,1,8,1,39,8,1,23.7,8,1,3.3,8,1,5.3,8,1
1993/4/27,20.3,8,1,0,1,8,1,47,8,1,22.3,8,1,2.5,8,1,4.5,8,1
1993/4/28,14.7,8,1,3.5,0,8,1,49,8,1,12.8,8,1,7.5,8,1,3.3,8,1
1993/4/29,9.0,8,1,8.5,0,8,1,86,8,1,2.9,8,1,10.0,8,1,4.4,8,1
1993/4/30,10.4,8,1,1.0,0,8,1,87,8,1,3.4,8,1,9.0,8,1,2.2,8,1
1993/5/1,10.3,8,1,0,1,8,1,67,8,1,11.5,8,1,7.3,8,1,3.1,8,1
1993/5/2,9.2,8,1,12.5,0,8,1,75,8,1,3.8,8,1,9.5,8,1,2.9,8,1
1993/5/3,14.3,8,1,3.5,0,8,1,69,8,1,10.2,8,1,9.3,8,1,3.1,8,1
1993/5/4,13.9,8,1,0,1,8,1,49,8,1,23.8,8,1,6.0,8,1,4.1,8,1
1993/5/5,14.8,8,1,0,1,8,1,64,8,1,23.0,8,1,10.0,8,1,2.5,8,1
1993/5/6,17.4,8,1,0.0,0,8,1,68,8,1,18.2,8,1,8.0,8,1,2.1,8,1
1993/5/7,18.4,8,1,0.0,0,8,1,58,8,1,20.5,8,1,7.8,8,1,3.4,8,1
