É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/16 05:18:48

,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰)
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2019/1/1,5.0,8,1,0,1,8,1,,0,1,2.7,8,1,42,8,1,1.3,8,1
2019/1/2,5.4,8,1,0.0,0,8,1,,0,1,3.3,8,1,48,8,1,0.0,8,1
2019/1/3,4.4,8,1,0,1,8,1,,0,1,4.3,8,1,50,8,1,0.3,8,1
2019/1/4,5.0,8,1,0,1,8,1,,0,1,2.5,8,1,47,8,1,0.3,8,1
2019/1/5,6.5,8,1,0,1,8,1,,0,1,3.9,8,1,50,8,1,0.0,8,1
2019/1/6,4.8,8,1,0,1,8,1,,0,1,4.7,8,1,45,8,1,10.0,8,1
2019/1/7,4.5,8,1,0,1,8,1,,0,1,3.7,8,1,44,8,1,1.0,8,1
2019/1/8,2.9,8,1,0,1,8,1,,0,1,1.5,8,1,59,8,1,2.7,8,1
2019/1/9,3.7,8,1,0.0,0,8,1,,0,1,5.6,8,1,48,8,1,0.7,8,1
2019/1/10,0.8,8,1,0,1,8,1,,0,1,1.4,8,1,50,8,1,5.0,8,1
2019/1/11,6.6,8,1,0,1,8,1,,0,1,5.3,8,1,44,8,1,0.3,8,1
2019/1/12,4.0,8,1,0,1,8,1,,0,1,1.4,8,1,56,8,1,10.0,8,1
2019/1/13,5.6,8,1,0,1,8,1,,0,1,1.7,8,1,56,8,1,0.0,8,1
2019/1/14,3.3,8,1,0,1,8,1,,0,1,1.4,8,1,61,8,1,0.0,8,1
2019/1/15,2.2,8,1,0,1,8,1,,0,1,1.6,8,1,70,8,1,4.7,8,1
2019/1/16,5.5,8,1,0,1,8,1,,0,1,5.1,8,1,47,8,1,6.7,8,1
2019/1/17,6.3,8,1,0,1,8,1,,0,1,3.1,8,1,42,8,1,0.3,8,1
2019/1/18,4.8,8,1,0,1,8,1,,0,1,5.1,8,1,40,8,1,0.0,8,1
2019/1/19,5.6,8,1,0,1,8,1,,0,1,3.3,8,1,43,8,1,2.3,8,1
2019/1/20,5.7,8,1,0.0,0,8,1,,0,1,2.8,8,1,52,8,1,4.3,8,1
2019/1/21,4.4,8,1,0,1,8,1,,0,1,3.4,8,1,43,8,1,0.3,8,1
2019/1/22,3.6,8,1,0.0,0,8,1,,0,1,3.6,8,1,52,8,1,4.0,8,1
2019/1/23,3.9,8,1,0,1,8,1,,0,1,1.7,8,1,53,8,1,0.0,8,1
2019/1/24,5.0,8,1,0,1,8,1,,0,1,5.5,8,1,39,8,1,0.0,8,1
2019/1/25,5.1,8,1,0,1,8,1,,0,1,2.9,8,1,40,8,1,7.0,8,1
2019/1/26,3.7,8,1,0,1,8,1,,0,1,5.5,8,1,52,8,1,4.0,8,1
2019/1/27,3.8,8,1,0,1,8,1,,0,1,5.1,8,1,50,8,1,0.0,8,1
2019/1/28,4.1,8,1,0.0,0,8,1,,0,1,2.1,8,1,50,8,1,3.3,8,1
2019/1/29,4.9,8,1,0,1,8,1,,0,1,5.9,8,1,44,8,1,1.0,8,1
2019/1/30,3.8,8,1,0,1,8,1,,0,1,1.7,8,1,52,8,1,2.7,8,1
2019/1/31,4.9,8,1,6.0,0,8,1,,0,1,3.1,8,1,61,8,1,10.0,8,1
2019/2/1,3.3,8,1,0,1,8,1,,0,1,5.6,8,1,43,8,1,0.0,4,1
2019/2/2,6.3,8,1,0,1,8,1,,0,1,3.4,8,1,45,8,1,,0,1
2019/2/3,6.6,8,1,0.0,0,8,1,,0,1,1.7,8,1,57,8,1,,0,1
2019/2/4,9.7,8,1,0.0,0,8,1,,0,1,5.8,8,1,50,8,1,,0,1
2019/2/5,6.1,8,1,0,1,8,1,,0,1,3.2,8,1,48,8,1,,0,1
2019/2/6,5.4,8,1,0.0,0,8,1,,0,1,2.2,8,1,66,8,1,,0,1
2019/2/7,7.5,8,1,0,1,8,1,,0,1,2.0,8,1,65,8,1,,0,1
2019/2/8,4.7,8,1,0,1,8,1,,0,1,5.9,8,1,36,8,1,,0,1
2019/2/9,0.8,8,1,0.0,0,8,1,,0,1,1.7,8,1,71,8,1,,0,1
2019/2/10,2.9,8,1,0.0,0,8,1,,0,1,3.5,8,1,47,8,1,,0,1
2019/2/11,1.6,8,1,0,1,8,1,,0,1,1.5,8,1,57,8,1,,0,1
2019/2/12,5.0,8,1,0,1,8,1,,0,1,3.8,8,1,45,8,1,,0,1
2019/2/13,4.2,8,1,0,1,8,1,,0,1,2.6,8,1,45,8,1,,0,1
2019/2/14,3.5,8,1,0,1,8,1,,0,1,4.9,8,1,38,8,1,,0,1
2019/2/15,2.0,8,1,0,1,8,1,,0,1,1.7,8,1,55,8,1,,0,1
2019/2/16,5.2,8,1,0,1,8,1,,0,1,3.5,8,1,49,8,1,,0,1
2019/2/17,5.5,8,1,0,1,8,1,,0,1,5.0,8,1,40,8,1,,0,1
2019/2/18,7.6,8,1,0,1,8,1,,0,1,2.9,8,1,40,8,1,,0,1
2019/2/19,7.8,8,1,0.0,0,8,1,,0,1,1.5,8,1,62,8,1,,0,1
2019/2/20,10.2,8,1,6.0,0,8,1,,0,1,2.1,8,1,80,8,1,,0,1
2019/2/21,9.2,8,1,0,1,8,1,,0,1,5.3,8,1,45,8,1,,0,1
2019/2/22,8.0,8,1,0,1,8,1,,0,1,2.0,8,1,57,8,1,,0,1
2019/2/23,7.9,8,1,0,1,8,1,,0,1,5.3,8,1,43,8,1,,0,1
2019/2/24,7.2,8,1,0,1,8,1,,0,1,2.5,8,1,45,8,1,,0,1
2019/2/25,10.1,8,1,0,1,8,1,,0,1,2.1,8,1,47,8,1,,0,1
2019/2/26,10.1,8,1,0.0,0,8,1,,0,1,3.1,8,1,45,8,1,,0,1
2019/2/27,6.4,8,1,0.0,0,8,1,,0,1,1.9,8,1,45,8,1,,0,1
2019/2/28,6.6,8,1,22.5,0,8,1,,0,1,1.6,8,1,79,8,1,,0,1
2019/3/1,9.4,8,1,1.0,0,8,1,,0,1,1.8,8,1,69,8,1,,0,1
2019/3/2,9.2,8,1,0,1,8,1,,0,1,3.6,8,1,38,8,1,,0,1
2019/3/3,5.8,8,1,8.0,0,8,1,,0,1,2.4,8,1,73,8,1,,0,1
2019/3/4,7.6,8,1,22.0,0,8,1,,0,1,3.0,8,1,93,8,1,,0,1
2019/3/5,9.8,8,1,0.5,0,8,1,,0,1,2.6,8,1,67,8,1,,0,1
2019/3/6,10.3,8,1,1.5,0,8,1,,0,1,1.3,8,1,75,8,1,,0,1
2019/3/7,8.7,8,1,7.0,0,8,1,,0,1,3.2,8,1,78,8,1,,0,1
2019/3/8,6.6,8,1,0,1,8,1,,0,1,5.3,8,1,47,8,1,,0,1
2019/3/9,7.7,8,1,0,1,8,1,,0,1,1.8,8,1,57,8,1,,0,1
2019/3/10,10.8,8,1,6.5,0,8,1,,0,1,1.7,8,1,59,8,1,,0,1
2019/3/11,11.2,8,1,34.5,0,8,1,,0,1,4.4,8,1,73,8,1,,0,1
2019/3/12,12.3,8,1,0,1,8,1,,0,1,3.6,8,1,47,8,1,,0,1
2019/3/13,9.5,8,1,0,1,8,1,,0,1,3.7,8,1,52,8,1,,0,1
2019/3/14,7.1,8,1,0,1,8,1,,0,1,3.7,8,1,41,8,1,,0,1
2019/3/15,8.5,8,1,0,1,8,1,,0,1,2.6,8,1,45,8,1,,0,1
2019/3/16,8.4,8,1,0.0,0,8,1,,0,1,3.5,8,1,51,8,1,,0,1
2019/3/17,7.3,8,1,0.0,0,8,1,,0,1,3.0,8,1,45,8,1,,0,1
2019/3/18,9.0,8,1,0,1,8,1,,0,1,3.2,8,1,46,8,1,,0,1
2019/3/19,11.9,8,1,0,1,8,1,,0,1,1.5,8,1,45,8,1,,0,1
2019/3/20,14.1,8,1,0,1,8,1,,0,1,2.7,8,1,43,8,1,,0,1
2019/3/21,15.5,8,1,0.0,0,8,1,,0,1,1.9,8,1,67,8,1,,0,1
2019/3/22,13.9,8,1,0,1,8,1,,0,1,5.9,8,1,49,8,1,,0,1
2019/3/23,6.7,8,1,0.0,0,8,1,,0,1,4.7,8,1,40,8,1,,0,1
2019/3/24,6.6,8,1,0,1,8,1,,0,1,3.6,8,1,40,8,1,,0,1
