Week,気温(℃),降水量(mm),日射量(MJ/㎡),風速(m/s),湿度(％),雲量(10分比)
1,3.2600000000000002,0.0,46.4,,3.4,3.14
2,5.114285714285714,0.0,40.285714285714285,,1.9857142857142858,4.357142857142857
3,5.028571428571429,2.5714285714285716,50.0,,4.3,3.7714285714285714
4,5.042857142857143,1.0,58.714285714285715,,6.085714285714286,2.914285714285714
5,4.3,1.1428571428571428,48.714285714285715,,4.0,4.485714285714286
6,3.6571428571428575,1.1428571428571428,57.857142857142854,,6.0,2.7857142857142856
7,4.214285714285714,0.0,42.857142857142854,,1.957142857142857,3.8285714285714287
8,5.6000000000000005,1.5714285714285714,69.42857142857143,,6.857142857142857,1.9285714285714286
9,7.2,3.7857142857142856,59.714285714285715,,6.485714285714286,3.2714285714285714
10,7.657142857142857,4.428571428571429,62.42857142857143,,8.957142857142857,2.5285714285714285
11,7.385714285714286,0.2857142857142857,43.857142857142854,,5.014285714285714,3.1571428571428575
12,12.042857142857143,0.21428571428571427,59.142857142857146,,5.285714285714286,2.5285714285714285
13,11.214285714285714,0.0,34.285714285714285,,2.2,3.6142857142857143
14,13.685714285714285,1.0,64.85714285714286,,7.242857142857142,2.1285714285714286
15,8.67142857142857,8.0,78.28571428571429,,9.857142857142858,1.9714285714285715
16,14.085714285714285,2.642857142857143,64.42857142857143,,8.042857142857143,2.042857142857143
17,17.82857142857143,0.0,53.857142857142854,,5.1000000000000005,2.585714285714286
18,21.02857142857143,0.0,53.857142857142854,,5.271428571428571,2.314285714285714
19,18.8,0.7142857142857143,46.857142857142854,,5.042857142857143,2.8428571428571425
20,21.614285714285717,2.7142857142857144,51.857142857142854,,7.3428571428571425,2.6
21,21.042857142857144,1.4285714285714286,56.142857142857146,,7.942857142857143,2.457142857142857
22,23.642857142857142,0.42857142857142855,52.0,,6.828571428571428,2.6142857142857143
23,20.842857142857145,6.714285714285714,60.57142857142857,,8.014285714285714,2.7142857142857144
24,23.771428571428572,4.071428571428571,67.71428571428571,,8.857142857142858,2.2857142857142856
25,21.400000000000002,14.571428571428571,80.28571428571429,,9.857142857142858,2.0714285714285716
26,23.214285714285715,9.0,72.85714285714286,,7.471428571428571,2.4285714285714284
27,21.614285714285717,8.142857142857142,86.71428571428571,,10.0,1.657142857142857
28,24.785714285714285,1.1428571428571428,76.42857142857143,,8.242857142857144,1.7571428571428573
29,27.657142857142855,25.214285714285715,76.0,,7.185714285714285,2.6714285714285713
30,30.3,0.5,65.0,,6.671428571428572,2.1999999999999997
31,29.842857142857145,0.21428571428571427,67.42857142857143,,6.571428571428571,2.242857142857143
32,29.97142857142857,0.0,63.142857142857146,,6.185714285714285,2.414285714285714
33,27.228571428571428,18.785714285714285,77.71428571428571,,9.142857142857142,2.257142857142857
34,26.7,0.14285714285714285,73.57142857142857,,9.328571428571427,2.185714285714286
35,21.557142857142857,6.428571428571429,85.0,,9.9,1.7142857142857142
36,24.214285714285715,4.142857142857143,78.85714285714286,,9.242857142857144,1.8571428571428572
37,22.87142857142857,23.285714285714285,80.0,,9.142857142857142,2.042857142857143
38,21.74285714285714,8.0,73.0,,8.428571428571429,1.9000000000000001
39,21.142857142857142,4.214285714285714,75.57142857142857,,7.714285714285714,1.5999999999999999
40,20.085714285714285,1.2857142857142858,54.857142857142854,,7.085714285714286,2.6142857142857143
41,18.228571428571428,0.2857142857142857,57.857142857142854,,5.185714285714285,2.442857142857143
42,17.885714285714286,1.1428571428571428,66.71428571428571,,4.714285714285714,1.9285714285714286
43,16.871428571428574,0.0,57.57142857142857,,6.385714285714286,2.6
44,14.957142857142857,4.642857142857143,63.0,,8.114285714285714,1.9428571428571428
45,14.87142857142857,2.857142857142857,71.85714285714286,,5.0,1.7714285714285716
46,14.471428571428572,3.9285714285714284,73.0,,8.214285714285714,1.9285714285714286
47,14.157142857142857,3.642857142857143,76.71428571428571,,9.200000000000001,1.7285714285714284
48,9.614285714285714,2.2142857142857144,65.0,,5.857142857142857,2.2857142857142856
49,9.528571428571428,0.0,50.142857142857146,,4.285714285714286,2.4285714285714284
50,9.142857142857142,2.4285714285714284,68.14285714285714,,6.871428571428571,2.0285714285714285
51,8.1,0.0,54.42857142857143,,4.228571428571429,2.742857142857143
52,7.542857142857143,0.6428571428571429,52.714285714285715,,3.242857142857143,3.2142857142857144
52,5.233333333333333,0.0,47.0,,1.6666666666666667,2.3666666666666667
